framework,topology,mode,scenario,tasks,runner_schema_version,signal_compute_ns,signal_compute_calls,batch_count,runtime_worker_threads,instruments_per_task,total_instruments,messages_per_instrument,total_ticks,expected_orders,expected_business_errors,producer_tasks,trade_ingress_lanes,trade_task_keys,public_cooperative_yields,signal_handlers,trade_lanes_per_signal_handler,handler_kind,account_ingress_tasks,account_ingress_lanes,account_ingress_capacity,venue_handlers,order_runners,account_broadcast_rings,account_topics,account_fanout_domains,account_handlers_per_fanout_domain,account_receivers_per_ring,broadcast_lag_observable,account_owner_handlers,trade_broadcast_capacity,order_execution_broadcast_capacity,account_order_broadcast_capacity,expected_account_callbacks,account_callbacks,account_observation_sources,native_owner_callbacks,account_non_owner_callbacks,per_signal_trade_callbacks_min,per_signal_trade_callbacks_max,per_signal_private_callbacks_min,per_signal_private_callbacks_max,signal_handler_model,batch_isolation_model,private_fanout_model,account_owner_selection_model,public_ingress_model,private_ingress_model,overflow_model,measured_runs,failure_count,failed_runs,failure_reasons,throughput_median_ticks_s,throughput_min_ticks_s,throughput_max_ticks_s,throughput_cv_percent,public_decode_p50_median_ns,public_decode_p99_median_ns,tick_to_order_p50_median_ns,tick_to_order_p99_median_ns,tick_to_ack_p99_median_ns,tick_to_fill_p50_median_ns,tick_to_fill_p99_median_ns,max_in_flight_median,task_completed_min,task_completed_max,private_bridge,conservation_failures,account_callback_errors,account_delivery_lost,broadcast_lagged,cross_batch_errors,errors
barter-rs,ws5_strategy20,mixed_live,success,20,6,100000,25600,1,16,5,100,256,25600,1200,0,20,20,0,25600,20,1,composite_logical_handlers,1,1,8192,1,0,0,0,1,20,0,False,1,,,,48000,48000,2400,2400,45600,1280,1280,2400,2400,one native Barter Strategy in one Engine with twenty synchronous logical handlers,"twenty public WS groups share one sync Engine, feed, venue, and private ingress",synchronous twenty-way composite fanout inside one native AlgoStrategy callback,single composite Strategy owns account state; logical handler 0 is canonical and nineteen handlers observe,twenty cooperative Tokio tasks; one production transformer per five-symbol public WS,one bounded raw AccountOrder WS ingress task using send().await backpressure,unbounded public/Engine feed; one bounded raw private mpsc uses send().await backpressure; no broadcast-lag category,7,0,,,9930.141,9870.298,9940.613,0.254,708,1750,1309992917,2538945833,2575487500,2574127167,2575488041,1200,1280,1280,True,0,0,0,0,0,0
extrema_infra,ws5_strategy20,mixed_live,success,20,6,100000,25600,1,16,5,100,256,25600,1200,0,20,20,20,25600,20,1,native_strategy_tasks,1,1,8192,1,1,1,0,1,20,20,True,1,8192,8192,8192,48000,48000,2400,2400,45600,1280,1280,2400,2400,"twenty native Extrema Strategy tasks, each bound to one public WS task carrying five symbols",twenty isolated public Trade task keys and signal handlers share one global venue and account fan-out domain,one global TaskChannels AccountOrder ring; each private frame decoded once and its Arc delivered to twenty native Strategy handlers,fixed signal handler 0 is the sole canonical owner; nineteen handlers are observers,"twenty cooperative Tokio public WS tasks, each round-robin publishing five symbols with one explicit yield after every message",one global bounded raw AccountOrder WS task for all twenty public WS tasks,broadcast lag is a hard failure; bounded raw private mpsc applies send().await backpressure,7,0,,,96313.44,89608.793,108163.53,6.263,542,1708,21545125,119153000,132367291,35361583,132367416,217,1280,1280,False,0,0,0,0,0,0
nautilus_trader,ws5_strategy20,mixed_live,success,20,6,100000,25600,1,16,5,100,256,25600,1200,0,20,20,0,25600,20,1,twenty_real_strategies_one_per_public_ws,1,1,8192,1,1,0,20,1,20,0,False,20,,,,48000,48000,2400,2400,45600,1280,1280,2400,2400,twenty real Strategy handlers in one LiveNode; each subscribes to the five instruments owned by one logical public WS; signal callbacks are synchronously dispatched on the single LiveNode engine thread,one OS thread + one current-thread Tokio runtime + one LiveNode for the complete 20-WS fanout domain,"each raw private frame is decoded once, then produces one native owner order-event callback plus nineteen non-owner CustomData callbacks on its owner-specific topic","each order is owned by the Strategy mapped to its originating public WS, so owner selection varies across all twenty handlers","twenty zero-network logical public WS producer tasks each multiplex five instruments in message-round order, share one LiveNode DataEvent sender, and yield cooperatively after every successful publish",one bounded cooperative AccountOrder mpsc consumer for the complete fanout domain; submit_order uses try_send and queue Full/Closed is fatal,bounded AccountOrder ingress capacity 8192 uses try_send and treats Full/Closed as fatal; Nautilus internal DataEvent and ExecutionEvent channels are unbounded and guarded by conservation plus timeout,7,0,,,9673.562,9610.96,9707.405,0.329,667,1625,1313587875,2559747125,2639576083,2618201667,2639579000,990,1280,1280,False,0,0,0,0,0,0
